Roll [rad]	Pitch [rad]	Delta t [s]
-0.0689931	0.0916298	0
-0.0755381	0.0959931	0.209527
-0.0766289	0.0959931	0.222769
-0.0853556	0.0992656	0.228221
-0.0853556	0.0992656	0.22139
-0.0820831	0.0949023	0.287424
-0.0755381	0.0894481	0.325473
-0.0733564	0.0883573	0.310719
-0.0591756	0.0807215	0.36017
-0.0493582	0.0796307	0.276814
-0.0482673	0.0807215	0.286841
-0.050449	0.0818123	0.301213
-0.0559031	0.083994	0.313839
-0.0602665	0.0861756	0.301608
-0.0613573	0.0872665	0.298212
-0.0646298	0.0894481	0.307444
-0.0657206	0.090539	0.300527
-0.0679023	0.0894481	0.313617
-0.0679023	0.0872665	0.30309
-0.0689931	0.0861756	0.289724
-0.0689931	0.0861756	0.281491
-0.0689931	0.0861756	0.292715
-0.0657206	0.0872665	0.313309
-0.0613573	0.0883573	0.286634
-0.0602665	0.090539	0.264862
-0.0613573	0.0916298	0.293792
-0.0657206	0.0938114	0.290797
-0.0744473	0.0949023	0.304907
-0.0820831	0.0949023	0.272818
-0.0875372	0.0949023	0.298124
-0.0908097	0.0959931	0.292163
-0.0886281	0.0938114	0.304521
-0.0875372	0.0927206	0.30084
-0.0777198	0.090539	0.301903
-0.0657206	0.0894481	0.275402
-0.0602665	0.090539	0.295042
-0.0602665	0.090539	0.289457
-0.0646298	0.090539	0.308036
-0.0755381	0.0938114	0.278603
-0.0831739	0.0959931	0.300754
-0.0886281	0.0970839	0.292843
-0.0908097	0.0970839	0.303499
-0.0897189	0.0970839	0.296393
-0.0853556	0.0959931	0.263735
-0.0820831	0.0959931	0.30627
-0.0777198	0.0927206	0.296412
-0.0722656	0.0894481	0.304531
-0.0711748	0.0894481	0.297868
-0.0700839	0.090539	0.284092
-0.0700839	0.0927206	0.29223
-0.0711748	0.0927206	0.285063
-0.0744473	0.0938114	0.286167
-0.0799014	0.0949023	0.300387
-0.0864464	0.0949023	0.339098
-0.0875372	0.0949023	0.305966
-0.0875372	0.0949023	0.3028
-0.0842647	0.0970839	0.292678
-0.0809922	0.0959931	0.290556
-0.0788106	0.0927206	0.308507
-0.0777198	0.0894481	0.301976
-0.0788106	0.0883573	0.302291
-0.0788106	0.0894481	1.55897
-0.0766289	0.101447	0.390087
-0.0755381	0.101447	0.311477
-0.0766289	0.0981748	0.308104
-0.0766289	0.0938114	0.317793
-0.0744473	0.0894481	0.302937
-0.0689931	0.0872665	0.34239
-0.0689931	0.0872665	0.271582
-0.0624481	0.0872665	0.552782
-0.0820831	0.0959931	0.303101
-0.0799014	0.0949023	0.317181
-0.0711748	0.090539	0.307972
-0.063539	0.0872665	0.314912
-0.0580848	0.0861756	0.294579
-0.0580848	0.0872665	0.299057
-0.0613573	0.0872665	0.29756
-0.0657206	0.0894481	0.307318
-0.0668114	0.0894481	0.296376
-0.0700839	0.0927206	0.299168
-0.063539	0.0938114	0.28956
-0.0559031	0.0949023	0.286627
-0.0482673	0.0938114	0.294488
-0.0428132	0.0916298	0.251431
-0.037359	0.0894481	0.295017
-0.037359	0.0883573	0.289692
-0.0384498	0.0883573	0.309514
-0.0428132	0.0894481	0.287917
-0.043904	0.0894481	0.286869
-0.050449	0.090539	0.296477
-0.050449	0.090539	0.291907
-0.0526307	0.0927206	0.297942
-0.050449	0.0949023	0.30176
-0.0471765	0.0949023	0.274632
-0.0417223	0.0938114	0.303722
-0.0406315	0.0927206	0.326999
-0.0340865	0.0872665	0.3032
-0.0340865	0.0872665	0.307952
-0.037359	0.0883573	0.294289
-0.043904	0.0883573	0.279793
-0.050449	0.0894481	0.27564
-0.0559031	0.0927206	0.301139
-0.0526307	0.0927206	0.276048
-0.0515398	0.0938114	0.279769
-0.0428132	0.0949023	0.273248
-0.0395407	0.0949023	0.282539
-0.0395407	0.0959931	0.288865
-0.0417223	0.0938114	0.292673
-0.0449948	0.0916298	0.290576
-0.050449	0.0894481	0.28157
-0.0537215	0.0872665	0.275643
-0.0537215	0.0872665	0.281338
-0.0559031	0.0894481	0.298814
-0.0537215	0.0894481	0.286129
-0.0493582	0.090539	0.305625
-0.0493582	0.090539	0.298884
-0.0482673	0.0927206	0.287895
-0.0515398	0.0938114	0.293501
-0.0559031	0.0949023	0.294061
-0.0613573	0.0949023	0.287599
-0.0624481	0.0949023	0.301483
-0.0700839	0.0949023	0.320671
-0.0744473	0.0927206	0.298691
-0.0722656	0.090539	0.289316
-0.0689931	0.0894481	0.301706
-0.063539	0.0894481	0.304201
-0.0613573	0.090539	0.313498
-0.0548123	0.0970839	0.283915
-0.0548123	0.0992656	0.282821
-0.0580848	0.100356	0.280749
-0.0668114	0.0992656	0.279532
-0.0668114	0.0992656	0.280632
-0.0777198	0.090539	0.291211
-0.0766289	0.0861756	0.305096
-0.0766289	0.0850848	0.281307
-0.063539	0.0829031	0.278882
-0.0602665	0.083994	0.334159
-0.0526307	0.0861756	0.330078
-0.0515398	0.0949023	0.306601
-0.056994	0.0981748	0.305215
-0.063539	0.100356	0.284961
-0.0668114	0.103629	0.283829
-0.0679023	0.101447	0.309285
-0.0679023	0.0981748	0.314933
-0.0689931	0.0949023	0.276445
-0.0722656	0.0916298	0.307797
-0.0755381	0.090539	0.294436
-0.0766289	0.0916298	0.290118
-0.0733564	0.0927206	0.283105
-0.0733564	0.0927206	0.274252
-0.0689931	0.0992656	0.297119
-0.0689931	0.101447	0.259347
-0.0700839	0.10472	0.279986
-0.0711748	0.10472	0.282979
-0.0733564	0.102538	0.301244
-0.0744473	0.0992656	0.304545
-0.0755381	0.0916298	0.307503
-0.0755381	0.0883573	0.304753
-0.0766289	0.083994	0.28637
-0.0766289	0.083994	0.295662
-0.0766289	0.083994	0.302773
-0.0766289	0.0872665	0.341502
-0.0766289	0.0938114	0.326249
-0.0766289	0.0959931	0.305176
-0.0755381	0.0970839	0.329402
-0.0766289	0.0981748	0.291552
-0.0777198	0.0970839	0.327787
-0.0809922	0.0916298	0.295843
-0.0799014	0.0872665	0.34092
-0.0755381	0.0850848	0.306424
-0.0722656	0.0861756	0.315119
-0.0722656	0.0872665	0.344021
-0.0722656	0.0883573	0.330183
-0.0788106	0.090539	0.31548
-0.0820831	0.0916298	0.345162
-0.0831739	0.0916298	0.311838
-0.0788106	0.0927206	0.324943
-0.0744473	0.0927206	0.32849
-0.0679023	0.0949023	0.323117
-0.0722656	0.0949023	0.305411
-0.0820831	0.0927206	1.25614
-0.102809	0.0894481	0.299633
-0.104991	0.0883573	0.297023
-0.0962639	0.0883573	0.367502
-0.0809922	0.0916298	0.34669
-0.0668114	0.0949023	0.31394
-0.0602665	0.0992656	0.300633
-0.063539	0.101447	0.305313
-0.0689931	0.100356	0.269257
-0.0777198	0.100356	0.3305
-0.0853556	0.0992656	0.288135
-0.0897189	0.0959931	0.309404
-0.0875372	0.0938114	0.314109
-0.0799014	0.0949023	0.319298
-0.0668114	0.0949023	0.296676
-0.0624481	0.0959931	0.286238
-0.050449	0.101447	0.277046
-0.0537215	0.10472	0.306593
-0.0624481	0.107992	0.296711
-0.0657206	0.109083	0.285106
-0.0842647	0.110174	0.292653
