Roll [rad]	Pitch [rad]	Delta t [s]
0.020455	-0.00436332	0
0.0193642	-0.00545415	0.250665
0.0182734	-0.00872665	0.275373
0.020455	-0.00981748	0.314374
0.0193642	-0.00654498	0.284598
0.0182734	-0.00327249	0.289073
0.0215458	-0.00436332	0.292834
0.0226367	-0.00436332	0.294446
0.0193642	-0.0109083	0.298372
0.01391	-0.01309	0.283925
0.0106375	-0.0109083	0.314309
0.0117284	-0.00763582	0.293618
0.01391	-0.00981748	0.315985
0.0171825	-0.01309	0.283918
0.0193642	-0.0141808	0.292659
0.0182734	-0.0119991	0.296294
0.01391	-0.0109083	0.306682
0.00627421	-0.00981748	0.313187
0.00191089	-0.0109083	0.330125
0.00736505	-0.01309	0.29781
0.0182734	-0.0152716	0.318426
0.0226367	-0.0163625	0.297347
0.0215458	-0.0185441	0.279573
0.0171825	-0.0174533	0.316774
0.00845588	-0.0152716	0.284597
-0.0013616	-0.01309	0.32457
-0.0384498	-0.0632682	0.322285
-0.030814	-0.0676315	0.321442
-0.024269	-0.070904	0.337335
-0.0231782	-0.0698132	0.34831
-0.024269	-0.0654498	0.328478
-0.0264507	-0.0632682	0.325017
-0.0297232	-0.064359	0.338514
-0.0286324	-0.0698132	0.33408
-0.0286324	-0.0741765	0.310242
-0.0297232	-0.0719948	0.329168
-0.0275415	-0.0698132	0.336194
-0.0297232	-0.0687223	0.318949
-0.0329957	-0.0719948	0.312209
-0.0319049	-0.0763582	0.310177
-0.0319049	-0.0741765	0.309953
-0.037359	-0.0719948	0.308719
-0.0395407	-0.0719948	0.322765
-0.0362682	-0.0741765	0.320207
-0.0329957	-0.0752673	0.318052
-0.0329957	-0.0752673	0.322944
-0.0297232	-0.0763582	0.303643
-0.0319049	-0.077449	0.305098
-0.0362682	-0.0796307	0.302432
-0.0384498	-0.0796307	0.309413
-0.037359	-0.0763582	0.316997
-0.0384498	-0.0741765	0.323894
-0.0384498	-0.0752673	0.328047
-0.0406315	-0.0807215	0.313459
-0.043904	-0.0829031	0.317949
-0.0460857	-0.0818123	0.314278
-0.0417223	-0.0807215	0.306288
-0.0384498	-0.0796307	0.309929
-0.0384498	-0.0796307	0.307806
-0.0395407	-0.0818123	0.322878
-0.043904	-0.083994	0.30648
-0.0471765	-0.0872665	0.313654
-0.0482673	-0.0883573	0.31351
-0.0428132	-0.0829031	0.312506
-0.0406315	-0.0818123	0.331184
-0.0417223	-0.0861756	0.322299
-0.0417223	-0.0872665	0.314705
-0.0471765	-0.0861756	0.319829
-0.0526307	-0.0850848	0.302628
-0.0548123	-0.0894481	0.313052
-0.0559031	-0.0927206	0.327549
-0.0482673	-0.0938114	0.3257
-0.0395407	-0.0872665	0.323029
-0.0406315	-0.0883573	0.317215
-0.0428132	-0.0894481	0.321159
-0.0548123	-0.0970839	0.336428
-0.0591756	-0.0949023	0.33921
-0.0548123	-0.0916298	0.311755
-0.0471765	-0.0927206	0.326214
-0.0471765	-0.0949023	0.302945
-0.0493582	-0.0949023	0.303914
-0.0515398	-0.0959931	0.308165
-0.0591756	-0.0992656	0.314762
-0.0646298	-0.102538	0.331339
-0.0591756	-0.100356	0.342343
-0.0537215	-0.0970839	0.318912
-0.0537215	-0.0970839	0.329285
-0.050449	-0.0992656	0.318344
-0.0515398	-0.103629	0.321217
-0.056994	-0.10472	0.329495
-0.0602665	-0.10472	0.324661
-0.063539	-0.102538	0.327041
-0.0646298	-0.101447	0.317599
-0.0613573	-0.103629	0.331906
-0.0602665	-0.10472	0.322806
-0.0591756	-0.107992	0.332409
-0.0580848	-0.106901	0.313255
-0.0624481	-0.105811	0.337538
-0.0679023	-0.10472	0.333587
-0.0668114	-0.105811	0.325548
-0.0646298	-0.107992	0.33013
-0.0624481	-0.109083	0.312893
-0.0602665	-0.109083	0.299034
-0.0580848	-0.107992	0.316553
-0.0613573	-0.110174	0.320018
-0.0668114	-0.111265	0.331008
-0.0668114	-0.111265	0.327131
-0.0668114	-0.110174	0.337909
-0.0668114	-0.110174	0.332588
-0.0646298	-0.112356	0.339896
-0.0689931	-0.114537	0.338398
-0.0689931	-0.114537	0.56222
-0.0679023	-0.11781	0.339421
-0.0689931	-0.11781	0.354058
-0.0689931	-0.116719	0.340658
-0.0700839	-0.116719	0.34083
-0.0711748	-0.11781	0.343122
-0.0722656	-0.116719	0.340679
-0.0722656	-0.11781	0.33745
-0.0733564	-0.118901	0.342088
-0.0766289	-0.121082	0.342269
-0.0777198	-0.122173	0.344167
-0.0788106	-0.122173	0.358645
-0.0722656	-0.119991	0.347183
-0.0689931	-0.118901	0.346351
-0.0700839	-0.121082	0.328041
-0.0722656	-0.124355	0.341335
-0.0766289	-0.125446	0.337581
-0.0788106	-0.123264	0.338447
-0.0777198	-0.123264	0.337522
-0.0755381	-0.123264	0.343117
-0.0744473	-0.123264	0.340288
-0.0777198	-0.124355	0.347319
-0.0799014	-0.126536	0.328691
-0.0799014	-0.128718	0.356453
-0.0809922	-0.129809	0.346298
-0.0820831	-0.1309	0.338176
-0.0809922	-0.1309	0.343149
-0.0777198	-0.128718	0.334479
-0.0777198	-0.126536	0.346972
-0.0766289	-0.127627	0.32013
-0.0788106	-0.131991	0.346828
-0.0853556	-0.135263	0.350185
-0.0897189	-0.133081	0.333144
-0.0875372	-0.128718	0.339484
-0.0842647	-0.129809	0.331815
-0.0799014	-0.133081	0.4825
-0.0908097	-0.138536	0.364171
-0.0886281	-0.134172	0.348594
-0.0864464	-0.131991	0.35812
-0.0842647	-0.135263	0.340289
-0.0831739	-0.140717	0.343321
-0.0864464	-0.14508	0.358275
-0.0908097	-0.14399	0.366418
-0.0940822	-0.138536	0.359133
-0.0940822	-0.131991	0.347092
-0.0919005	-0.134172	0.349629
-0.0919005	-0.142899	0.339817
-0.0908097	-0.149444	0.357905
-0.0940822	-0.148353	0.340282
-0.095173	-0.14399	0.35897
-0.095173	-0.139626	0.359045
-0.0940822	-0.139626	0.332571
-0.095173	-0.14508	0.354414
-0.0973547	-0.150535	0.375974
-0.0973547	-0.148353	0.349574
-0.0962639	-0.142899	0.36275
-0.0962639	-0.140717	0.353135
-0.0919005	-0.142899	0.356494
-0.0973547	-0.148353	0.364342
-0.0984455	-0.147262	0.36754
-0.0973547	-0.148353	0.36219
-0.0973547	-0.149444	0.375693
-0.095173	-0.148353	0.358266
-0.0897189	-0.147262	0.370704
-0.0908097	-0.150535	0.370417
-0.0919005	-0.150535	0.352711
-0.0973547	-0.14508	0.36465
-0.0995364	-0.142899	0.357562
-0.0984455	-0.147262	0.375901
-0.0962639	-0.151625	0.755631
-0.095173	-0.155989	0.371863
-0.0940822	-0.15817	0.374295
-0.0973547	-0.155989	0.362438
-0.100627	-0.154898	0.372592
-0.1039	-0.154898	0.385233
-0.108263	-0.154898	0.364991
-0.1039	-0.155989	0.375103
-0.101718	-0.15708	0.363116
-0.0984455	-0.159261	0.356853
-0.101718	-0.160352	0.361348
-0.110445	-0.15817	0.366485
-0.110445	-0.15708	0.358365
-0.107172	-0.160352	0.376311
-0.101718	-0.163625	0.353109
-0.100627	-0.162534	0.368341
-0.104991	-0.159261	0.351251
-0.108263	-0.160352	0.380109
-0.110445	-0.165806	0.36174
-0.111536	-0.166897	0.358615
-0.111536	-0.166897	0.360505
-0.112626	-0.165806	0.368294
-0.112626	-0.161443	0.353189
-0.108263	-0.161443	0.35454
-0.109354	-0.165806	0.376064
-0.112626	-0.172351	0.354518
-0.11699	-0.174533	0.384255
-0.119171	-0.173442	0.375888
-0.119171	-0.17126	0.376456
-0.115899	-0.165806	0.37886
-0.113717	-0.166897	0.36966
-0.114808	-0.17126	0.369774
-0.11699	-0.175624	0.375363
-0.120262	-0.176715	0.391317
-0.122444	-0.173442	0.394303
-0.125716	-0.17126	0.383529
-0.120262	-0.172351	0.366969
-0.119171	-0.175624	0.376857
-0.119171	-0.176715	0.358674
-0.120262	-0.176715	0.368658
-0.122444	-0.176715	0.383303
-0.11808	-0.172351	0.371606
-0.120262	-0.174533	0.392833
-0.123535	-0.176715	0.376991
-0.126807	-0.176715	0.403843
-0.121353	-0.175624	0.408687
-0.113717	-0.178896	0.394767
-0.114808	-0.179987	0.394125
-0.124625	-0.177805	0.415503
-0.128989	-0.175624	0.405115
-0.128989	-0.175624	0.390612
-0.124625	-0.178896	0.39296
-0.11699	-0.18326	0.429434
-0.125716	-0.181078	0.46106
-0.128989	-0.181078	0.459478
-0.13008	-0.186532	0.422712
-0.128989	-0.185441	0.444976
-0.13117	-0.182169	0.458569
-0.128989	-0.182169	0.468052
-0.124625	-0.185441	0.460652
-0.123535	-0.188714	0.44797
-0.133352	-0.187623	0.465797
-0.139897	-0.186532	0.444608
-0.140988	-0.188714	0.408609
-0.13117	-0.190895	0.423406
-0.13008	-0.193077	0.422811
-0.134443	-0.190895	0.440776
-0.140988	-0.188714	0.416333
-0.139897	-0.188714	0.439008
-0.133352	-0.194168	0.437735
-0.132261	-0.19744	0.436386
-0.138806	-0.194168	0.389291
-0.146442	-0.191986	0.419185
-0.145351	-0.195259	0.431953
-0.137715	-0.19744	0.39568
-0.135534	-0.198531	0.442932
-0.140988	-0.198531	0.45084
-0.149715	-0.19635	0.590871
-0.137715	-0.203985	0.442636
