Roll [rad]	Pitch [rad]	Delta t [s]
-0.0809922	0.0992656	0
-0.0831739	0.0992656	0.214145
-0.0929914	0.0992656	0.225276
-0.0995364	0.0992656	0.309334
-0.101718	0.101447	0.309357
-0.100627	0.101447	0.307913
-0.0984455	0.102538	0.310437
-0.0984455	0.102538	0.301956
-0.0973547	0.102538	0.294565
-0.0962639	0.102538	0.308925
-0.0962639	0.102538	0.285131
-0.0908097	0.102538	0.300909
-0.0886281	0.101447	0.294968
-0.0875372	0.101447	0.293536
-0.0886281	0.102538	0.284245
-0.0897189	0.105811	0.295635
-0.0919005	0.109083	0.28446
-0.0919005	0.111265	0.265964
-0.0897189	0.112356	0.280786
-0.0864464	0.112356	0.28471
-0.0820831	0.111265	0.268421
-0.0777198	0.110174	0.28418
-0.0755381	0.107992	0.271997
-0.0766289	0.106901	0.275017
-0.0788106	0.105811	0.293843
-0.0864464	0.105811	0.2972
-0.0886281	0.106901	0.286334
-0.0940822	0.112356	0.282414
-0.0940822	0.112356	0.291799
-0.0908097	0.116719	0.275183
-0.0809922	0.11781	0.291207
-0.0799014	0.11781	0.297654
-0.0744473	0.116719	0.301446
-0.0744473	0.116719	0.267098
-0.0744473	0.116719	0.295077
-0.0744473	0.116719	0.294732
-0.0799014	0.112356	0.285945
-0.0788106	0.111265	0.274192
-0.0788106	0.111265	0.288819
-0.0799014	0.111265	0.293669
-0.0799014	0.112356	0.272045
-0.0799014	0.114537	0.295575
-0.0788106	0.116719	0.293562
-0.0766289	0.116719	0.300416
-0.0744473	0.114537	0.282081
-0.0722656	0.113446	0.290844
-0.0766289	0.106901	0.294557
-0.0842647	0.100356	0.296026
-0.0875372	0.0981748	0.275912
-0.0875372	0.0981748	0.292865
-0.0886281	0.0992656	0.313385
-0.0886281	0.0992656	0.286123
-0.0875372	0.100356	0.292477
-0.0875372	0.103629	0.299142
-0.0864464	0.10472	0.297917
-0.0842647	0.102538	0.289014
-0.0777198	0.0992656	0.299675
-0.0766289	0.0992656	0.297349
-0.0766289	0.0927206	0.301876
-0.0853556	0.090539	0.323394
-0.0919005	0.0927206	0.292082
-0.0973547	0.0949023	0.302238
-0.0995364	0.0981748	0.306813
-0.0973547	0.101447	0.3267
-0.0908097	0.101447	0.364354
-0.0842647	0.0992656	0.290684
-0.0853556	0.0970839	0.343727
-0.0908097	0.0949023	0.336402
-0.0973547	0.0959931	0.342958
-0.0973547	0.0959931	0.325143
-0.0973547	0.0959931	0.32204
-0.108263	0.0992656	0.353021
-0.106081	0.0992656	0.352216
-0.0995364	0.0992656	0.310431
-0.0940822	0.100356	0.331889
-0.0908097	0.101447	0.311508
-0.0908097	0.100356	0.341455
-0.0940822	0.0992656	0.332714
-0.100627	0.0981748	0.329257
-0.106081	0.0970839	0.33333
-0.107172	0.0959931	0.351644
-0.101718	0.0959931	0.312418
-0.0995364	0.0970839	0.321934
-0.0886281	0.0981748	0.335475
-0.0788106	0.0970839	0.303347
-0.0799014	0.0938114	0.318717
-0.0799014	0.0927206	0.291027
-0.0919005	0.090539	0.332565
-0.0940822	0.090539	0.339828
-0.0995364	0.0883573	0.291573
-0.0995364	0.0872665	0.308491
-0.0940822	0.0861756	0.3071
-0.0886281	0.0861756	0.328972
-0.0886281	0.0861756	0.325432
-0.0842647	0.0883573	0.339656
-0.0809922	0.0894481	0.30555
-0.0820831	0.0883573	0.315927
-0.0853556	0.0850848	0.324504
-0.0908097	0.0818123	0.335856
-0.0962639	0.0796307	0.333809
-0.0984455	0.0807215	0.317565
-0.0973547	0.0850848	0.327636
-0.0908097	0.090539	0.317863
-0.0886281	0.090539	0.328271
-0.0766289	0.0938114	0.308563
-0.0733564	0.0927206	0.312887
-0.0766289	0.0894481	0.319579
-0.0831739	0.0861756	0.312745
-0.0864464	0.0861756	0.310419
-0.0940822	0.0861756	0.414374
-0.0886281	0.0850848	0.289237
-0.0853556	0.0861756	0.270291
-0.0766289	0.0883573	0.290746
-0.0733564	0.090539	0.263421
-0.0722656	0.090539	0.281105
-0.0744473	0.0916298	0.262574
-0.0853556	0.090539	0.300217
-0.0875372	0.090539	0.300057
-0.0984455	0.0883573	0.322794
-0.1039	0.0829031	0.310586
-0.100627	0.0829031	0.304829
-0.0897189	0.083994	0.308868
-0.0875372	0.083994	0.296603
-0.0755381	0.0872665	0.32281
-0.0711748	0.0894481	0.312396
-0.0755381	0.090539	0.305694
-0.0853556	0.090539	0.31549
-0.0962639	0.090539	0.30807
-0.1039	0.0894481	0.300381
-0.104991	0.0883573	0.304544
-0.102809	0.0872665	0.303046
-0.0929914	0.0883573	0.270932
-0.0788106	0.0894481	0.295937
-0.0700839	0.0894481	0.302229
-0.0700839	0.0894481	0.286488
-0.0755381	0.0894481	0.282709
-0.0842647	0.090539	0.289646
-0.095173	0.090539	0.292678
-0.101718	0.0916298	0.279843
-0.102809	0.0916298	0.293772
-0.1039	0.090539	0.301781
-0.0984455	0.0894481	0.295847
-0.0875372	0.0883573	0.300047
-0.0864464	0.0894481	0.267082
-0.0755381	0.090539	0.289504
-0.0733564	0.0916298	0.266698
-0.0788106	0.0916298	0.29191
-0.0864464	0.0916298	0.302541
-0.0940822	0.090539	0.305895
-0.0995364	0.090539	0.291101
-0.100627	0.090539	0.302211
-0.0984455	0.090539	0.290827
-0.0973547	0.090539	0.288187
-0.0886281	0.0894481	0.297124
-0.0842647	0.0894481	0.273965
-0.0831739	0.0883573	0.302736
-0.0864464	0.0872665	0.308449
-0.0908097	0.0872665	0.314554
-0.0908097	0.0872665	0.299231
-0.0929914	0.0872665	0.291794
-0.0940822	0.0883573	0.285719
-0.095173	0.0883573	0.284424
-0.0929914	0.0894481	0.283393
-0.0908097	0.090539	0.286228
-0.0875372	0.0916298	0.283659
-0.0853556	0.0916298	0.286357
-0.0842647	0.090539	0.28885
-0.0864464	0.0872665	0.294443
-0.0864464	0.0861756	0.290923
-0.0886281	0.0861756	0.306598
-0.0897189	0.0883573	0.289767
-0.0897189	0.0927206	0.289146
-0.0875372	0.0970839	0.261857
-0.0864464	0.101447	0.27654
-0.0864464	0.101447	0.274998
-0.0864464	0.0992656	0.274783
-0.0864464	0.0981748	0.269626
-0.0875372	0.090539	0.305836
-0.0875372	0.0894481	0.297488
-0.0875372	0.0872665	0.292581
-0.0864464	0.0883573	0.290342
-0.0853556	0.0916298	0.297069
-0.0864464	0.0959931	0.290242
-0.0875372	0.0981748	0.283647
-0.0864464	0.0981748	0.273129
-0.0853556	0.0992656	0.290451
-0.0853556	0.0992656	0.28452
-0.0853556	0.0970839	0.271175
-0.0875372	0.090539	0.29594
-0.0897189	0.0872665	0.281324
-0.0897189	0.0872665	0.282769
-0.0908097	0.0818123	0.281554
-0.0886281	0.0829031	0.275702
-0.0853556	0.083994	0.29955
-0.0820831	0.0850848	0.292375
-0.0809922	0.0872665	0.282584
-0.0842647	0.090539	0.316979
-0.0908097	0.0938114	0.307199
-0.0940822	0.0927206	0.325474
-0.0962639	0.0916298	0.307791
-0.0962639	0.0872665	0.310335
-0.0908097	0.0818123	0.312566
-0.0853556	0.0807215	0.299783
-0.0853556	0.0796307	0.303228
-0.0853556	0.0796307	0.288523
-0.0897189	0.0872665	0.293375
-0.0962639	0.0894481	0.301785
-0.0995364	0.0916298	0.301748
-0.0995364	0.0916298	0.275168
-0.0962639	0.0916298	0.305987
-0.0929914	0.0894481	0.296598
-0.0886281	0.0894481	0.301081
-0.0875372	0.0894481	0.289965
-0.0919005	0.090539	0.280299
-0.0919005	0.0916298	0.279985
-0.0973547	0.0938114	0.282506
-0.0984455	0.0949023	0.28703
-0.0984455	0.0959931	0.299311
-0.0984455	0.0970839	0.300362
-0.0984455	0.0981748	0.285606
-0.0984455	0.100356	0.281568
-0.0973547	0.101447	0.295539
-0.0940822	0.101447	0.272583
-0.0919005	0.101447	0.285318
-0.0853556	0.101447	0.282141
-0.0831739	0.101447	0.287958
-0.0831739	0.102538	0.272126
-0.0853556	0.102538	0.285726
-0.0886281	0.102538	0.293232
-0.0929914	0.102538	0.289841
-0.0929914	0.102538	0.287606
-0.0929914	0.102538	0.278372
-0.0875372	0.103629	0.298557
-0.0842647	0.103629	0.280684
-0.0766289	0.103629	0.31126
-0.0744473	0.103629	0.266955
-0.0744473	0.103629	0.271044
-0.0744473	0.103629	0.271323
-0.0809922	0.105811	0.274979
-0.0864464	0.107992	0.27893
-0.0886281	0.107992	0.266744
-0.0908097	0.107992	0.293846
-0.0908097	0.107992	0.297125
-0.0886281	0.105811	0.285089
-0.0842647	0.103629	0.282519
-0.0809922	0.10472	0.282311
-0.0809922	0.10472	0.294394
-0.0809922	0.109083	0.280817
-0.0809922	0.110174	0.27963
-0.0809922	0.113446	0.269122
-0.0809922	0.114537	0.274982
