Roll [rad]	Pitch [rad]	Delta t [s]
0.00518338	-0.0152716	0
0.00518338	-0.0152716	0.257403
0.00518338	-0.0152716	0.304293
0.00518338	-0.0152716	0.253453
0.00518338	-0.0152716	0.253001
0.00518338	-0.0152716	0.250232
0.00518338	-0.0152716	0.23576
0.00518338	-0.0152716	0.246551
0.00518338	-0.0152716	0.254509
0.00518338	-0.0152716	0.256567
0.00518338	-0.0141808	0.250419
0.00518338	-0.0109083	0.248194
0.00518338	-0.00981748	0.253412
0.00518338	-0.00981748	0.238314
0.00518338	-0.00981748	0.235733
0.00627421	-0.00981748	0.248164
0.00518338	-0.0109083	0.251474
0.00518338	-0.0109083	0.243967
0.00300172	-0.0163625	0.255898
0.00300172	-0.0174533	0.246003
0.00300172	-0.0174533	0.258433
0.00300172	-0.0174533	0.244829
0.00300172	-0.0174533	0.275248
0.00300172	-0.0174533	0.250901
0.00300172	-0.0174533	0.253356
0.00300172	-0.0174533	0.256072
0.00300172	-0.0152716	0.24496
0.00300172	-0.0152716	0.245347
0.00300172	-0.0152716	0.243717
0.00300172	-0.0152716	0.258346
0.00300172	-0.0152716	0.250622
0.00300172	-0.0152716	0.257674
0.00082006	-0.0152716	0.249721
-0.00027077	-0.0152716	0.236345
-0.00027077	-0.0152716	0.257318
-0.00027077	-0.0152716	0.258477
-0.00027077	-0.0152716	0.252634
-0.00027077	-0.0152716	0.249825
0.00082006	-0.0152716	0.241648
0.00082006	-0.0152716	0.247615
0.00082006	-0.0152716	0.241189
0.00082006	-0.0141808	0.255023
0.00082006	-0.01309	0.254434
0.00082006	-0.01309	0.247476
0.00082006	-0.01309	0.239349
0.00082006	-0.01309	0.247264
0.00082006	-0.01309	0.241446
0.00082006	-0.01309	0.241391
0.00082006	-0.01309	0.240352
0.00082006	-0.01309	0.250944
-0.00027077	-0.01309	0.245695
-0.00027077	-0.01309	0.242307
-0.00027077	-0.01309	0.250369
-0.00027077	-0.01309	0.237273
-0.00027077	-0.01309	0.254274
-0.00027077	-0.01309	0.254521
-0.00027077	-0.01309	0.255439
-0.00027077	-0.01309	0.246612
-0.00027077	-0.01309	0.244978
-0.00027077	-0.01309	0.249391
-0.00027077	-0.01309	0.241045
-0.0013616	-0.01309	0.246551
-0.0013616	-0.01309	0.245469
-0.0013616	-0.01309	0.246812
-0.0013616	-0.01309	0.265121
-0.0013616	-0.0152716	0.251538
-0.0013616	-0.0174533	0.249364
-0.0013616	-0.0185441	0.251116
-0.0013616	-0.0185441	0.249556
-0.0013616	-0.0174533	0.253463
-0.0013616	-0.0174533	0.256031
-0.0013616	-0.0174533	0.241837
-0.0013616	-0.0174533	0.246573
-0.0013616	-0.0174533	0.246191
-0.00354326	-0.0174533	0.256241
-0.00354326	-0.0174533	0.245754
-0.00354326	-0.0174533	0.249426
-0.00463409	-0.0174533	0.253537
-0.00463409	-0.0174533	0.247265
-0.00463409	-0.0174533	0.245264
-0.00463409	-0.0174533	0.254414
-0.00463409	-0.0174533	0.253051
-0.00463409	-0.0174533	0.262838
-0.00463409	-0.0174533	0.246157
-0.00463409	-0.0174533	0.247564
-0.00463409	-0.0174533	0.253177
-0.00463409	-0.0174533	0.2862
-0.00463409	-0.0174533	0.282395
-0.00463409	-0.0174533	0.284738
-0.00463409	-0.0174533	0.339483
-0.00463409	-0.0174533	0.258436
-0.00463409	-0.0174533	0.239064
-0.00354326	-0.0174533	0.239049
-0.00354326	-0.0174533	0.241613
-0.00354326	-0.0174533	0.267129
-0.00354326	-0.0174533	0.267502
-0.00354326	-0.0174533	0.268677
-0.00354326	-0.0174533	0.272034
-0.00463409	-0.0174533	0.267849
-0.00463409	-0.0174533	0.253894
-0.00463409	-0.0174533	0.266734
-0.00463409	-0.0174533	0.259312
-0.00463409	-0.0174533	0.267818
-0.00463409	-0.0174533	0.244603
-0.00463409	-0.0174533	0.276168
-0.00463409	-0.0174533	0.248574
-0.00463409	-0.019635	0.250956
-0.00463409	-0.019635	0.245232
-0.00463409	-0.019635	0.243965
-0.00463409	-0.019635	0.259255
-0.00463409	-0.019635	0.248258
-0.00463409	-0.019635	0.29743
-0.00463409	-0.019635	0.252629
-0.00463409	-0.019635	0.240335
-0.00463409	-0.0185441	0.247985
-0.00463409	-0.0174533	0.247045
-0.00463409	-0.0174533	0.246001
-0.00463409	-0.0174533	0.24246
-0.00463409	-0.0174533	0.240909
-0.00463409	-0.0174533	0.767663
-0.00354326	-0.01309	0.244269
-0.00354326	-0.01309	0.247689
