Roll [rad]	Pitch [rad]	Delta t [s]
0.00300172	-0.0316341	0
0.00300172	-0.0305433	0.391332
0.00300172	-0.0316341	0.356888
0.00300172	-0.0316341	0.372989
0.00300172	-0.0305433	0.402747
0.00300172	-0.0283616	0.368257
0.00300172	-0.0294524	0.38674
0.00191089	-0.0294524	0.360785
0.00191089	-0.0294524	0.367859
0.00191089	-0.0294524	0.367375
-0.00027077	-0.0294524	0.370189
-0.00027077	-0.0283616	0.359491
0.00082006	-0.0283616	0.361361
0.00191089	-0.0272708	0.372405
0.00082006	-0.0261799	0.377489
0.00082006	-0.0272708	0.390954
0.00082006	-0.0272708	0.389846
0.00082006	-0.0272708	0.351157
0.00082006	-0.0229074	0.349808
0.00082006	-0.019635	0.349631
0.00191089	-0.0141808	0.347122
0.00082006	-0.01309	0.375833
0.00082006	-0.01309	0.319045
0.00082006	-0.01309	0.365245
0.00082006	-0.00981748	0.361351
-0.0013616	-0.00763582	0.35513
-0.0013616	-0.00763582	0.32752
-0.0013616	-0.0119991	0.356186
-0.0013616	-0.0218166	0.372414
-0.0013616	-0.0218166	0.390781
-0.0013616	-0.0250891	0.383975
-0.0013616	-0.0283616	0.378553
-0.0013616	-0.0294524	0.362404
-0.0013616	-0.0283616	0.358381
0.00082006	-0.0283616	0.375631
0.00082006	-0.0272708	0.378185
0.00191089	-0.0218166	0.356853
0.00191089	-0.0207258	0.362815
0.00191089	-0.0207258	0.36392
0.00191089	-0.0185441	0.35105
0.00191089	-0.0152716	0.35343
0.00191089	-0.0152716	0.377292
0.00191089	-0.0229074	1.49548
-0.00354326	-0.0207258	0.434562
-0.00354326	-0.0229074	0.344508
-0.00354326	-0.0272708	0.380969
-0.0013616	-0.0316341	0.372658
-0.00027077	-0.0316341	0.3572
-0.00027077	-0.0305433	0.369712
-0.00027077	-0.0305433	0.328457
-0.00027077	-0.0305433	0.352864
-0.00027077	-0.0305433	0.37019
-0.00027077	-0.0294524	0.374055
-0.00027077	-0.0272708	0.374469
0.00082006	-0.0272708	0.367104
0.00300172	-0.0261799	0.375455
0.00627421	-0.0239983	0.378018
0.00627421	-0.0218166	0.341075
0.00300172	-0.0272708	0.366763
0.00300172	-0.0305433	0.385941
0.00300172	-0.0327249	0.371181
0.00191089	-0.0305433	0.350853
0.00191089	-0.0316341	0.392938
0.00518338	-0.0294524	0.354889
0.00518338	-0.0250891	0.356401
0.00518338	-0.0229074	0.35359
0.00518338	-0.0229074	0.36351
