Note that the DS10 IMU data seems to have failed near the end of the recording.

Roll [rad]	Pitch [rad]	Delta t [s]
-0.043904	0.0959931	0.307633
-0.0351774	0.0938114	0.326582
-0.0286324	0.0894481	0.345176
-0.0340865	0.083994	0.320413
-0.0449948	0.083994	0.338015
-0.0580848	0.0872665	0.338136
-0.0668114	0.0916298	0.300475
-0.0689931	0.0927206	0.33274
-0.0668114	0.0927206	0.309033
-0.0646298	0.0927206	0.313159
-0.0526307	0.0927206	0.309
-0.0460857	0.0927206	0.309298
-0.0384498	0.0927206	0.319514
-0.0406315	0.0927206	0.311494
-0.0449948	0.0916298	0.312899
-0.0591756	0.090539	0.326667
-0.0766289	0.090539	0.330277
-0.0962639	0.0916298	0.345486
-0.108263	0.0949023	0.314941
-0.112626	0.0949023	0.34208
-0.102809	0.0938114	0.332319
-0.100627	0.0927206	0.317531
-0.0831739	0.0916298	0.336455
-0.0406315	0.090539	0.347369
-0.0133607	0.090539	0.28958
-0.00463409	0.090539	0.307264
-0.00681575	0.0883573	0.341858
-0.0111791	0.0883573	0.300295
-0.050449	0.0872665	0.320283
-0.0679023	0.0872665	0.321428
-0.0733564	0.0872665	0.327803
-0.0700839	0.0872665	0.301535
-0.063539	0.0861756	0.350381
-0.0406315	0.0872665	0.343911
-0.0253599	0.0872665	0.284533
-0.0220874	0.0861756	0.281408
-0.0220874	0.0861756	0.323777
-0.0220874	0.0861756	0.28192
-0.0209966	0.090539	0.299433
-0.0406315	0.0938114	0.306832
-0.0428132	0.0938114	0.303728
-0.0646298	0.0959931	0.301995
-0.0668114	0.0959931	0.294203
-0.0646298	0.0938114	0.292061
-0.0515398	0.0850848	0.299707
-0.037359	0.0818123	0.695208
-0.0460857	0.0992656	0.300382
-0.050449	0.0981748	0.342259
-0.0624481	0.0894481	0.329187
-0.063539	0.0872665	0.320372
-0.0449948	0.0861756	0.307058
-0.0297232	0.090539	0.297765
-0.0199057	0.0938114	0.28382
-0.0177241	0.0959931	0.279603
-0.0209966	0.0959931	0.29558
-0.0220874	0.0970839	0.285453
-0.0395407	0.0949023	0.302821
-0.0417223	0.0949023	0.307209
-0.0537215	0.090539	0.301998
-0.063539	0.0872665	0.300284
-0.0602665	0.0861756	0.296307
-0.0602665	0.0872665	0.30225
-0.0384498	0.0959931	0.285254
-0.0286324	0.0959931	0.278397
-0.0199057	0.0927206	0.281304
-0.0166332	0.0872665	0.286741
-0.0177241	0.0861756	0.288145
-0.0209966	0.0861756	0.282063
-0.0482673	0.090539	0.302542
-0.0602665	0.0927206	0.291989
-0.0646298	0.0916298	0.289711
-0.0602665	0.0916298	0.299765
-0.0526307	0.090539	0.305661
-0.0384498	0.0894481	0.298951
-0.0319049	0.0894481	0.287187
-0.0319049	0.0894481	0.311901
-0.0319049	0.0894481	0.269354
-0.0319049	0.0894481	0.272412
-0.0253599	0.0981748	0.303334
-0.0329957	0.0981748	0.29259
-0.0340865	0.0970839	0.294838
-0.0406315	0.090539	0.30073
-0.0406315	0.0916298	0.290919
-0.0395407	0.0949023	0.30834
-0.0384498	0.100356	0.287499
-0.0384498	0.101447	0.279431
-0.037359	0.10472	0.283666
-0.030814	0.10472	0.30436
-0.0275415	0.103629	0.280084
-0.0231782	0.102538	0.285844
-0.0253599	0.105811	0.295625
-0.0275415	0.106901	0.272607
-0.0329957	0.109083	0.292519
-0.0351774	0.107992	0.279892
-0.037359	0.106901	0.310145
-0.0395407	0.105811	0.283333
-0.0417223	0.105811	0.296492
-0.0417223	0.105811	0.278902
-0.0384498	0.110174	0.288454
-0.0362682	0.111265	0.288013
-0.0329957	0.111265	0.273207
-0.0329957	0.111265	0.286671
-0.0286324	0.107992	0.2841
-0.0275415	0.106901	0.280698
-0.0286324	0.105811	0.259601
-0.0275415	0.10472	0.282055
-0.0253599	0.103629	0.311711
-0.0231782	0.103629	0.280879
-0.0220874	0.10472	0.257849
-0.0231782	0.105811	0.274006
-0.024269	0.105811	0.275468
-0.0231782	0.10472	0.253844
-0.0220874	0.101447	0.296892
-0.0220874	0.0970839	0.30912
