Roll [rad]	Pitch [rad]	Delta t [s]
-0.0122699	-0.0218166	0
-0.0177241	-0.019635	0.290539
-0.0188149	-0.019635	0.289076
-0.0188149	-0.019635	0.376351
-0.0111791	-0.0185441	0.40322
-0.00790659	-0.0185441	0.378527
-0.00681575	-0.0185441	0.349957
-0.00790659	-0.0185441	0.346697
-0.0111791	-0.0185441	0.379257
-0.0155424	-0.0174533	0.36542
-0.0166332	-0.0174533	0.385765
-0.0155424	-0.0174533	0.350171
-0.0155424	-0.019635	0.385587
-0.0111791	-0.0229074	0.379562
-0.00790659	-0.0239983	0.357294
-0.00790659	-0.0239983	0.392936
-0.00463409	-0.0229074	0.342652
-0.00681575	-0.0229074	0.376763
-0.0111791	-0.0218166	0.347526
-0.0133607	-0.0174533	0.362955
-0.0111791	-0.0163625	0.356788
-0.0111791	-0.0163625	0.370229
-0.00899742	-0.0163625	0.386662
-0.00790659	-0.0174533	0.339356
-0.00790659	-0.0174533	0.339441
-0.00790659	-0.0174533	0.332982
-0.00572492	-0.0174533	0.341237
-0.0111791	-0.0119991	0.34039
-0.0155424	-0.00763582	0.348989
-0.0155424	-0.00436332	0.340247
-0.0155424	-0.00327249	0.358399
-0.0133607	-0.00545415	0.343874
-0.00681575	-0.00654498	0.357115
-0.00572492	-0.00872665	0.376519
-0.00572492	-0.00654498	0.340874
-0.00572492	-0.00545415	0.36778
-0.00572492	-0.00654498	0.339444
-0.00899742	-0.00872665	0.361697
-0.00899742	-0.00981748	0.346212
-0.00899742	-0.00981748	0.357879
-0.00899742	-0.00981748	0.366901
-0.00463409	-0.0141808	0.358016
-0.00463409	-0.0174533	0.375967
-0.00463409	-0.0174533	0.37962
-0.00463409	-0.01309	0.372768
-0.00790659	-0.00981748	0.342745
-0.00899742	-0.00981748	0.34635
-0.00681575	-0.0109083	0.3554
-0.00245243	-0.01309	0.340367
0.00300172	-0.01309	0.362193
0.00191089	-0.01309	0.341582
-0.00245243	-0.0141808	0.372882
-0.00354326	-0.0141808	0.380734
-0.00354326	-0.0109083	0.360075
-0.00027077	-0.00981748	0.33752
0.00082006	-0.0141808	0.36928
0.00082006	-0.0207258	0.350774
0.00300172	-0.0218166	0.351497
0.00191089	-0.0207258	0.34979
0.00300172	-0.019635	0.341896
0.00300172	-0.019635	0.361084
-0.00027077	-0.0207258	0.350047
-0.00354326	-0.0207258	0.379397
-0.00354326	-0.0207258	0.353091
0.00082006	-0.0218166	0.333876
0.00191089	-0.0229074	0.383274
0.00954671	-0.0316341	0.342464
0.0106375	-0.0316341	0.347027
0.0106375	-0.0316341	0.367115
0.0106375	-0.0316341	0.344539
0.00954671	-0.0316341	0.356932
0.00954671	-0.0316341	0.369035
0.00954671	-0.0316341	0.363278
0.00845588	-0.0305433	0.368528
0.00627421	-0.0338158	0.386379
0.00845588	-0.0370882	0.391849
0.00845588	-0.0359974	0.387657
0.00845588	-0.0349066	0.373518
0.00736505	-0.0349066	0.349361
0.00736505	-0.0349066	0.375614
0.00736505	-0.0349066	0.371914
0.00409255	-0.0349066	0.369905
