Roll [rad]	Pitch [rad]	Delta t [s]
-0.00463409	-0.0152716	0
0.00736505	-0.0174533	0.24742
0.00736505	-0.0174533	0.245793
0.00736505	-0.0174533	0.253498
0.00736505	-0.019635	0.252013
0.00736505	-0.0207258	0.256678
0.00736505	-0.0207258	0.248254
0.00736505	-0.0207258	0.244922
0.00736505	-0.0207258	0.248543
0.00845588	-0.0207258	0.248395
0.00845588	-0.0207258	0.251221
0.00845588	-0.0207258	0.251131
0.00845588	-0.0207258	0.246512
0.00845588	-0.0207258	0.243753
0.00845588	-0.0207258	0.248935
0.00845588	-0.0207258	0.246874
0.00845588	-0.0207258	0.255212
0.00845588	-0.0207258	0.257571
0.00845588	-0.0207258	0.250113
0.00845588	-0.0207258	0.254048
0.00845588	-0.0218166	0.259434
0.00845588	-0.0218166	0.250243
0.00954671	-0.0218166	0.25668
0.00954671	-0.0218166	0.254693
0.00954671	-0.0218166	0.262693
0.00954671	-0.0218166	0.290927
0.0106375	-0.0229074	0.267505
0.0106375	-0.0229074	0.295079
0.0106375	-0.0239983	0.25941
0.0106375	-0.0250891	0.250227
0.0106375	-0.0250891	0.250104
0.0117284	-0.0250891	0.245187
0.0117284	-0.0250891	0.254602
0.0117284	-0.0250891	0.255474
0.0117284	-0.0250891	0.24896
0.0117284	-0.0250891	0.257061
0.0117284	-0.0250891	0.252709
0.0128192	-0.0250891	0.262082
0.0128192	-0.0250891	0.258202
0.0128192	-0.0261799	0.269021
0.0117284	-0.0261799	0.262157
0.0117284	-0.0261799	0.24838
0.0117284	-0.0261799	0.257467
0.0117284	-0.0261799	0.255794
0.0106375	-0.0250891	0.255309
0.00954671	-0.0250891	0.258092
0.00627421	-0.0250891	0.25936
0.00518338	-0.0250891	0.268203
0.00518338	-0.0250891	0.254566
0.00518338	-0.0272708	0.257486
0.00518338	-0.0283616	0.255112
0.00518338	-0.0283616	0.258233
0.00518338	-0.0283616	0.258137
0.00518338	-0.0283616	0.255034
0.00409255	-0.0261799	0.262591
0.00300172	-0.0229074	0.267526
0.00191089	-0.0218166	0.272741
0.00082006	-0.0207258	0.251058
0.00082006	-0.0207258	0.273051
