Roll [rad]	Pitch [rad]	Delta t [s]
0.0237275	-0.00763582	0
0.027	-0.00436332	0.249587
0.0280908	-0.00109083	0.243225
0.027	0	0.237203
0.027	0	0.300861
0.0259092	-0.00109083	0.279531
0.020455	-0.00436332	0.29
0.0182734	-0.00763582	0.274447
0.0193642	-0.00981748	0.81892
0.0215458	-0.01309	0.273018
0.0237275	-0.00763582	0.316403
0.0237275	-0.00545415	0.287357
0.020455	-0.0109083	0.287512
0.0160917	-0.0174533	0.287848
0.0150009	-0.0185441	0.278509
0.00845588	-0.0185441	0.296819
0.00954671	-0.0152716	0.29503
0.01391	-0.0141808	0.278311
0.0193642	-0.0163625	0.295178
0.020455	-0.0174533	0.29707
0.020455	-0.0174533	0.277028
0.01391	-0.0163625	0.29254
0.00954671	-0.0174533	0.288112
0.0106375	-0.019635	0.285305
0.0117284	-0.0207258	0.286378
0.0117284	-0.0218166	0.285249
0.0128192	-0.0229074	0.281235
0.01391	-0.0239983	0.290388
0.0106375	-0.0239983	0.291901
0.00627421	-0.0207258	0.271377
0.00736505	-0.019635	0.297681
0.00627421	-0.0229074	0.28408
0.00627421	-0.0261799	0.289518
0.00736505	-0.0272708	0.298374
0.00845588	-0.0272708	0.28764
0.00845588	-0.0261799	0.283431
0.00845588	-0.0239983	0.291429
0.00627421	-0.0250891	0.294166
0.0193642	-0.0698132	0.321015
0.0193642	-0.0719948	0.326168
0.0215458	-0.0719948	0.337464
0.0215458	-0.070904	0.300629
0.0182734	-0.070904	0.297968
0.0182734	-0.070904	0.313185
0.0160917	-0.0719948	0.349529
0.0160917	-0.0741765	0.334909
0.020455	-0.0741765	0.337351
0.0226367	-0.0730857	0.287721
0.0193642	-0.0730857	0.34058
0.01391	-0.0741765	0.326251
0.0128192	-0.0741765	0.325098
0.0106375	-0.0763582	0.329014
0.0171825	-0.077449	0.330154
0.0215458	-0.0785398	0.320797
0.020455	-0.077449	0.298068
0.0171825	-0.0763582	0.330478
0.0128192	-0.0763582	0.33206
0.00627421	-0.077449	0.314855
0.00736505	-0.0796307	0.33463
0.0128192	-0.083994	0.328663
0.0117284	-0.0861756	0.323458
0.0117284	-0.083994	0.330811
0.0128192	-0.0796307	0.319368
0.0106375	-0.0785398	0.317273
0.00845588	-0.0818123	0.3224
0.00845588	-0.0872665	0.317799
0.00954671	-0.0894481	0.332427
0.00845588	-0.0861756	0.296741
0.00845588	-0.0829031	0.31909
0.00954671	-0.0829031	0.331097
0.00954671	-0.0861756	0.318043
0.00518338	-0.0894481	0.312095
0.00191089	-0.0894481	0.331952
0.00082006	-0.0916298	0.311624
0.00191089	-0.0927206	0.304956
0.00409255	-0.0894481	0.336248
0.00627421	-0.0872665	0.333891
0.00627421	-0.0894481	0.298194
0.00300172	-0.0938114	0.307404
-0.0013616	-0.0970839	0.30351
0.00082006	-0.0959931	0.312415
0.00300172	-0.0916298	0.317802
0.00409255	-0.0894481	0.330745
0.00409255	-0.090539	0.351029
0.00300172	-0.0959931	0.314655
-0.00245243	-0.0970839	0.326109
-0.00681575	-0.0981748	0.30968
-0.00681575	-0.0992656	0.314463
-0.00354326	-0.0970839	0.325043
-0.0013616	-0.0927206	0.321034
-0.00027077	-0.0938114	0.314226
-0.00027077	-0.100356	0.314834
-0.00245243	-0.106901	0.330663
-0.00572492	-0.105811	0.341989
-0.00790659	-0.0992656	0.439295
-0.00572492	-0.0992656	0.331282
-0.00681575	-0.102538	0.321237
-0.00463409	-0.10472	0.329309
-0.00354326	-0.10472	0.320954
-0.00681575	-0.102538	0.352669
-0.0100882	-0.100356	0.333066
-0.0155424	-0.102538	0.345799
-0.0177241	-0.109083	0.46804
-0.00463409	-0.111265	0.328804
-0.00463409	-0.105811	0.385482
-0.00899742	-0.102538	0.336149
-0.0122699	-0.10472	0.338387
-0.0133607	-0.111265	0.344665
-0.0122699	-0.113446	0.335027
-0.0144516	-0.111265	0.328644
-0.0177241	-0.110174	0.332162
-0.0188149	-0.111265	0.343101
-0.0166332	-0.114537	0.341758
-0.0133607	-0.116719	0.330631
-0.0144516	-0.115628	0.338439
-0.0177241	-0.115628	0.332488
-0.0199057	-0.116719	0.346711
-0.0188149	-0.11781	0.329114
-0.0177241	-0.115628	0.329934
-0.0133607	-0.112356	0.34028
-0.0155424	-0.114537	0.383665
-0.0231782	-0.122173	0.341633
-0.024269	-0.122173	0.337725
-0.024269	-0.118901	0.330759
-0.0220874	-0.116719	0.339537
-0.0209966	-0.118901	0.335332
-0.0220874	-0.122173	0.340664
-0.0231782	-0.123264	0.346065
-0.024269	-0.122173	0.328211
-0.024269	-0.122173	0.330297
-0.024269	-0.121082	0.350327
-0.0231782	-0.121082	0.341325
-0.0209966	-0.123264	0.321218
-0.0188149	-0.125446	0.323484
